N;mark;year;mileage;vol_engine;price
69639;toyota;2015;90229;1798;64500
69640;toyota;2016;114455;1598;56000
69641;toyota;2015;100000;1598;47900
69642;toyota;2018;60066;1598;76501
69643;toyota;2018;54500;1329;54000
69644;toyota;2018;78113;1798;83900
69645;toyota;2016;120679;1598;56000
69646;toyota;2015;120000;1329;49900
69647;toyota;2015;53442;1598;52900
69648;toyota;2016;169000;1598;47900
69649;toyota;2015;48500;1598;54500
69650;toyota;2016;77338;1329;46900
69651;toyota;2015;89213;1598;46500
69652;toyota;2014;56437;1598;48500
69653;toyota;2013;97000;1798;55900
69654;toyota;2017;56000;1329;52900
69655;toyota;2015;49233;1598;48000
69656;toyota;2016;60000;1798;78000
69657;toyota;2016;21000;1329;52700
69658;toyota;2015;109355;1364;43100
69659;toyota;2018;65498;1197;66900
69660;toyota;2013;101737;1329;45900
69661;toyota;2016;83309;1197;49500
69662;toyota;2015;55914;1598;53500
69663;toyota;2013;88765;1598;40500
69664;toyota;2015;133271;1798;73500
69665;toyota;2015;20492;1598;59000
69666;toyota;2015;93342;1598;53501
69667;toyota;2016;132136;1794;52000
69668;toyota;2014;265000;1364;28900
69669;toyota;2017;13496;1329;70900
69670;toyota;2018;46797;1798;72999
69671;toyota;2014;111502;1798;56000
69672;toyota;2014;187590;1598;44900
69673;toyota;2013;62000;1329;33400
69674;toyota;2013;160000;1598;42900
69675;toyota;2017;56770;1798;75500
69676;toyota;2014;74673;1998;52500
69677;toyota;2018;79295;1598;51900
69678;toyota;2014;79528;1998;45900
69679;toyota;2015;185000;1364;38700
69680;toyota;2018;91350;1364;51500
69681;toyota;2017;113468;1798;72900
69682;toyota;2018;129958;1798;72900
69683;toyota;2018;64436;1364;59990
69684;toyota;2016;52470;1598;61900
69685;toyota;2018;139000;1598;56900
69686;toyota;2014;109982;1798;59500
69687;toyota;2014;139460;1329;42900
69688;toyota;2018;69737;1329;50001
69689;toyota;2016;200000;1364;35600
69690;toyota;2014;182000;1598;44900
69691;toyota;2018;71124;1598;62900
69692;toyota;2015;117834;1598;49500
69693;toyota;2015;174000;1798;57900
69694;toyota;2016;88016;1598;63900
69695;toyota;2015;89000;1329;49900
69696;toyota;2018;61366;1598;69900
69697;toyota;2018;179601;1798;69900
69698;toyota;2013;162500;1364;37500
69699;toyota;2016;127400;1329;49500
69700;toyota;2018;46945;1364;57300
69701;toyota;2013;262000;1798;43500
69702;toyota;2015;133048;1798;69900
69703;toyota;2018;67000;1598;58900
69704;toyota;2018;34210;1598;73900
69705;toyota;2015;185000;1598;51800
69706;toyota;2018;139000;1798;56900
69707;toyota;2017;109200;1598;65900
69708;toyota;2013;150700;1998;38900
69709;toyota;2018;102000;1800;73500
69710;toyota;2018;83563;1598;58900
69711;toyota;2013;89849;1364;46900
69712;toyota;2018;144300;1364;47900
69713;toyota;2017;155000;1598;46999
69714;toyota;2018;82504;1364;53000
69715;toyota;2018;110068;1598;72000
69716;toyota;2018;120221;1598;66900
69717;toyota;2012;249000;1598;29000
69718;toyota;2013;225000;1329;21525
69719;toyota;2017;104841;1798;78900
69720;toyota;2017;118404;1598;65900
69721;toyota;2016;106663;1798;76900
69722;toyota;2014;180000;1364;36900
69723;toyota;2018;139674;1798;75900
69724;toyota;2016;135000;1598;48900
69725;toyota;2018;47236;1329;61900
69726;toyota;2017;103850;1329;49900
69727;toyota;2017;90000;1364;52700
69728;toyota;2014;185000;1598;43900
69729;toyota;2013;129886;1598;46000
69730;toyota;2018;220000;1798;64399
69731;toyota;2013;94000;1329;45900
69732;toyota;2014;151000;1364;33900
69733;toyota;2017;189000;1329;39999
69734;toyota;2018;186046;1598;63900
69735;toyota;2012;139000;1329;37999
69736;toyota;2018;197760;1798;62900
69737;toyota;2017;139000;1329;75030
69738;toyota;2017;47000;1197;49900
69739;toyota;2016;181253;1798;65900
69740;toyota;2017;126863;1598;65900
69741;toyota;2016;59000;1798;73900
69742;toyota;2014;45498;1329;42999
69743;toyota;2018;49900;1798;79900
69744;toyota;2014;190000;1798;44900
69745;toyota;2018;94225;1364;55700
69746;toyota;2018;94225;1364;55700
69747;toyota;2017;174000;1598;56900
69748;toyota;2014;92000;1329;45300
69749;toyota;2014;157831;1598;41500
69750;toyota;2014;59467;1329;49900
69751;toyota;2015;81211;1598;51000
69752;toyota;2014;111502;1798;56000
69753;toyota;2016;80154;1598;62000
69754;toyota;2016;261000;1598;37900
69755;toyota;2017;49000;1598;67499
69756;toyota;2017;164000;1598;47900
69757;toyota;2017;171000;1800;63900
69758;toyota;2007;169300;1598;18990
69759;toyota;2017;129000;1798;61700
69760;toyota;2018;90960;1598;69900
69761;toyota;2017;117148;1798;73900
69762;toyota;2016;60123;1798;68900
69763;toyota;2015;139000;1400;38800
69764;toyota;2013;111500;1598;48900
69765;toyota;2017;217137;1598;52900
69766;toyota;2018;52000;1598;57900
69767;toyota;2015;249197;1598;41900
69768;toyota;2015;121080;1598;44900
69769;toyota;2016;90000;1798;67000
69770;toyota;2017;20893;1598;65700
69771;toyota;2017;79564;1598;78899
69772;toyota;2018;98900;1798;79900
69773;toyota;2018;77900;1598;52700
69774;toyota;2017;113036;1598;62300
69775;toyota;2015;230000;1329;31900
69776;toyota;2018;138000;1598;46260
69777;toyota;2018;138626;1600;47000
69778;toyota;2015;138316;1598;49900
69779;toyota;2016;147200;1598;46900
69780;toyota;2018;53395;1798;79900
69781;toyota;2015;188000;1798;42990
69782;toyota;2017;101459;1598;69900
69783;toyota;2018;58000;1800;78900
69784;toyota;2018;128000;1800;72900
69785;toyota;2018;65651;1598;72900
69786;toyota;2013;179009;1998;39900
69787;toyota;2017;165763;1798;71900
69788;toyota;2014;66047;1598;60900
69789;toyota;2016;116945;1329;49800
69790;toyota;2014;118000;1598;47900
69791;toyota;2018;54000;1798;68880
69792;toyota;2018;74257;1364;65900
69793;toyota;2014;87764;1598;52900
69794;toyota;2014;96655;1998;54999
69795;toyota;2017;94800;1598;68900
69796;toyota;2014;122000;1329;54900
69797;toyota;2017;211333;1598;43800
69798;toyota;2017;14597;1798;69900
69799;toyota;2018;36701;1598;75900
69800;toyota;2018;142063;1600;49900
69801;toyota;2018;136000;1598;55900
69802;toyota;2013;192049;1798;46800
69803;toyota;2018;65852;1598;70500
69804;toyota;2015;69229;1329;48800
69805;toyota;2018;120542;1364;57799
69806;toyota;2014;188000;1998;46900
69807;toyota;2017;154335;1798;72799
69808;toyota;2018;110000;1598;60900
69809;toyota;2018;139000;1798;66800
69810;toyota;2018;94175;1364;62900
69811;toyota;2016;115500;1329;49900
69812;toyota;2018;25200;1798;79900
69813;toyota;2014;88605;1598;54900
69814;toyota;2013;139000;1798;48800
69815;toyota;2018;132715;1798;84900
69816;toyota;2018;96579;1798;84900
69817;toyota;2018;104000;1329;54900
69818;toyota;2017;220166;1798;52500
69819;toyota;2018;116000;1364;59900
69820;toyota;2018;17412;1798;91900
69821;toyota;2017;103674;1598;66900
69822;toyota;2016;94807;1598;54900
69823;toyota;2018;57284;1598;68900
69824;toyota;2017;112837;1598;68900
69825;toyota;2017;117043;1598;71900
69826;toyota;2017;144000;1798;65900
69827;toyota;2013;23091;1364;58299
69828;toyota;2017;120625;1598;65900
69829;toyota;2017;120387;1598;65900
69830;toyota;2013;126500;1329;30900
69831;toyota;2016;55217;1329;56900
69832;toyota;2014;198762;1798;47900
69833;toyota;2018;72261;1798;78800
69834;toyota;2018;54000;1329;82000
69835;toyota;2017;120000;1798;67035
69836;toyota;2016;175000;1329;46999
69837;toyota;2017;150432;1798;70900
69838;toyota;2013;66200;1798;51900
69839;toyota;2016;120679;1598;56000
69840;toyota;2018;26000;1798;66999
69841;toyota;2014;89000;1798;52900
69842;toyota;2014;210000;1998;32000
69843;toyota;2013;248000;1998;34900
69844;toyota;2013;85000;1329;40500
69845;toyota;2018;127000;1798;74900
69846;toyota;2015;102000;1798;64999
69847;toyota;2016;147442;1598;53300
69848;toyota;2018;74878;1598;56900
69849;toyota;2016;172950;1598;47900
69850;toyota;2014;156000;1798;53900
69851;toyota;2014;132000;1798;62000
69852;toyota;2015;66900;1329;48800
69853;toyota;2016;82000;1598;65900
69854;toyota;2018;53562;1598;59200
69855;toyota;2018;114376;1598;52900
69856;toyota;2018;72930;1598;56900
69857;toyota;2018;114376;1598;52900
69858;toyota;2015;110000;1798;55900
69859;toyota;2014;102000;1798;56900
69860;toyota;2016;161424;1598;49900
69861;toyota;2017;48300;1798;66900
69862;toyota;2017;105220;1598;63500
69863;toyota;2017;149908;1798;78900
69864;toyota;2018;99850;1364;47154
69865;toyota;2018;30133;1798;88900
69866;toyota;2016;118627;1329;49500
69867;toyota;2016;87909;1329;49500
69868;toyota;2018;119000;1598;65900
69869;toyota;2018;68000;1798;81900
69870;toyota;2016;152174;1598;56999
69871;toyota;2018;41542;1598;72800
69872;toyota;2017;36471;1798;83900
69873;toyota;2018;260000;1798;49900
69874;toyota;2018;88000;1798;73500
69875;toyota;2017;166317;1798;70900
69876;toyota;2014;141200;1598;49900
69877;toyota;2018;55706;1798;82900
69878;toyota;2016;132000;1598;52890
69879;toyota;2017;79246;1598;65900
69880;toyota;2017;114000;1364;44900
69881;toyota;2018;20939;1598;64900
69882;toyota;2018;61009;1364;59900
69883;toyota;2018;28000;1798;63900
69884;toyota;2016;100000;1598;54800
69885;toyota;2017;87500;1598;59500
69886;toyota;2016;45000;1329;46500
69887;toyota;2013;159565;1998;43000
69888;toyota;2015;110458;1798;49999
69889;toyota;2018;23593;1598;75900
69890;toyota;2017;89182;1598;61900
69891;toyota;2018;58514;1798;79900
69892;toyota;2017;84000;1329;44700
69893;toyota;2016;123000;1598;51999
69894;toyota;2018;84520;1598;66900
69895;toyota;2017;106246;1598;69900
69896;toyota;2016;168197;1598;49900
69897;toyota;2017;122237;1364;50900
69898;toyota;2013;165000;1598;44900
69899;toyota;2018;66678;1798;82900
69900;toyota;2016;178700;1598;54900
69901;toyota;2017;178431;1598;51900
69902;toyota;2013;144000;1329;43900
69903;toyota;2014;317000;1998;34900
69904;toyota;2017;39088;1329;55800
69905;toyota;2013;76190;1329;38900
69906;toyota;2015;103058;1598;53850
69907;toyota;2016;115000;1364;47900
69908;toyota;2016;144000;1329;46900
69909;toyota;2014;92000;1798;55900
69910;toyota;2017;112900;1598;62500
69911;toyota;2017;102285;1598;63900
69912;toyota;2017;169000;1798;48900
69913;toyota;2019;40000;1197;64000
69914;toyota;2013;75000;1329;36500
69915;toyota;2014;244000;1798;46900
69916;toyota;2017;112788;1598;65900
69917;toyota;2017;87000;1798;71800
69918;toyota;2018;34719;1798;73900
69919;toyota;2017;82500;1798;73800
69920;toyota;2017;115056;1598;63400
69921;toyota;2018;138690;1600;47000
69922;toyota;2015;90432;1598;56000
69923;toyota;2017;192000;1598;47800
69924;toyota;2013;47900;1329;41500
69925;toyota;2019;79240;1798;71899
69926;toyota;2013;64000;1598;40900
69927;toyota;2017;37200;1329;60500
69928;toyota;2014;83002;1798;56000
69929;toyota;2017;67000;1798;64900
69930;toyota;2013;16800;1400;36500
69931;toyota;2017;67000;1329;54500
69932;toyota;2017;102646;1598;64900
69933;toyota;2018;174129;1798;75900
69934;toyota;2018;172015;1798;75900
69935;toyota;2017;186000;1598;49500
69936;toyota;2018;87415;1600;56900
69937;toyota;2016;172223;1598;56900
69938;toyota;2012;138000;1798;52900
69939;toyota;2018;92398;1798;77800
69940;toyota;2018;92000;1364;64900
69941;toyota;2018;93358;1364;59850
69942;toyota;2014;79484;1598;43900
69943;toyota;2016;196000;1197;38499
69944;toyota;2015;178000;1598;46800
69945;toyota;2018;85000;1400;52900
69946;toyota;2017;96000;1329;57900
69947;toyota;2013;99000;1598;46999
69948;toyota;2018;135022;1798;74900
69949;toyota;2018;138943;1598;67900
69950;toyota;2014;79000;1598;40900
69951;toyota;2018;115913;1800;74000
69952;toyota;2017;71592;1798;73800
69953;toyota;2015;186632;1364;43900
69954;toyota;2017;76070;1598;69900
69955;toyota;2015;107050;1598;56900
69956;toyota;2014;42083;1598;49900
69957;toyota;2016;220000;1364;46800
69958;toyota;2014;200000;1598;39900
69959;toyota;2015;166370;1329;42900
69960;toyota;2017;185000;1364;46900
69961;toyota;2016;105000;1798;69800
69962;toyota;2016;108000;1798;69800
69963;toyota;2017;103850;1329;49900
69964;toyota;2017;97552;1798;79900
69965;toyota;2017;113269;1598;64944
69966;toyota;2015;206645;1598;43000
69967;toyota;2013;204336;1998;39900
69968;toyota;2014;53506;1598;54900
69969;toyota;2017;77688;1598;64199
69970;toyota;2016;108200;1598;41900
69971;toyota;2016;150069;1598;48800
69972;toyota;2018;107973;1598;59900
69973;toyota;2017;115564;1598;68900
69974;toyota;2017;118300;1598;65900
69975;toyota;2018;196031;1798;64900
69976;toyota;2014;162680;1998;46900
69977;toyota;2018;38956;1598;76900
69978;toyota;2013;162000;1798;53555
69979;toyota;2013;98600;1798;48599
69980;toyota;2018;75353;1798;69900
69981;toyota;2013;250000;1798;33900
69982;toyota;2017;42855;1598;61900
69983;toyota;2017;111294;1598;65900
69984;toyota;2016;65458;1598;65900
69985;toyota;2015;180389;1364;44900
69986;toyota;2018;52326;1598;67000
69987;toyota;2018;58423;1798;83900
69988;toyota;2017;83520;1598;59900
69989;toyota;2014;159110;1598;48000
69990;toyota;2016;77500;1598;61500
69991;toyota;2013;117789;1329;40000
69992;toyota;2013;189500;1798;46900
69993;toyota;2015;206580;1598;41000
69994;toyota;2013;178900;1998;38900
69995;toyota;2013;185000;1364;35800
69996;toyota;2016;125000;1598;43000
69997;toyota;2016;86104;1329;49000
69998;toyota;2018;92295;1598;62850
69999;toyota;2015;85000;1798;53900
70000;toyota;2018;101231;1364;61850
70001;toyota;2017;205141;1598;47900
70002;toyota;2017;29200;1598;68990
70003;toyota;2013;255076;1598;26900
70004;toyota;2018;26190;1598;71800
70005;toyota;2017;95522;1798;73900
70006;toyota;2017;81000;1798;72900
70007;toyota;2013;171000;1998;37700
70008;toyota;2016;253190;1598;49900
70009;toyota;2016;83276;1598;62900
70010;toyota;2017;137600;1598;65900
70011;toyota;2014;69827;1329;44999
70012;toyota;2017;150000;1364;56900
70013;toyota;2018;87591;1798;87900
70014;toyota;2018;113628;1598;54900
70015;toyota;2011;150000;1598;27700
70016;toyota;2017;89122;1798;74900
70017;toyota;2014;66954;1329;45900
70018;toyota;2014;64917;1798;58500
70019;toyota;2016;56750;1329;57000
70020;toyota;2018;71429;1598;62900
70021;toyota;2018;110000;1364;59900
70022;toyota;2016;132728;1798;71900
70023;toyota;2017;80200;1798;75900
70024;toyota;2017;99999;1598;64900
70025;toyota;2017;168056;1598;51900
70026;toyota;2014;145000;1598;44500
70027;toyota;2018;186148;1798;65400
70028;toyota;2012;124460;1598;43700
70029;toyota;2013;135619;1329;44900
70030;toyota;2016;65651;1598;74900
70031;toyota;2016;160000;1798;60900
70032;toyota;2016;97062;1598;58400
70033;toyota;2011;166000;1598;30999
70034;toyota;2018;51755;1798;82900
70035;toyota;2018;69518;1798;71900
70036;toyota;2018;84679;1798;70900
70037;toyota;2016;129000;1598;47900
70038;toyota;2018;30661;1329;57900
70039;toyota;2014;150000;1798;47000
70040;toyota;2016;102624;1798;67900
70041;toyota;2017;93560;1329;52500
70042;toyota;2016;34000;1197;55800
70043;toyota;2017;114000;1329;49900
70044;toyota;2017;95000;1798;68500
70045;toyota;2014;157000;1798;52900
70046;toyota;2018;101000;1798;84900
70047;toyota;2013;199000;1364;33800
70048;toyota;2017;148000;1798;64900
70049;toyota;2015;28000;1798;57900
70050;toyota;2015;242000;1798;49900
70051;toyota;2017;100247;1329;54900
70052;toyota;2015;171000;1598;46500
70053;toyota;2018;31117;1598;74900
70054;toyota;2018;80832;1798;81900
70055;toyota;2017;138238;1598;65900
70056;toyota;2017;108318;1598;65900
70057;toyota;2018;34900;1598;72900
70058;toyota;2018;27858;1598;69000
70059;toyota;2013;146901;1329;28000
70060;toyota;2015;91243;1598;52000
70061;toyota;2013;166597;1998;41900
70062;toyota;2017;30543;1598;67900
70063;toyota;2015;69600;1329;46400
70064;toyota;2013;84354;1598;48900
70065;toyota;2014;217000;1364;32900
70066;toyota;2014;168631;1598;45900
70067;toyota;2016;147430;1598;48950
70068;toyota;2013;224000;1798;43990
70069;toyota;2013;220000;1329;29500
70070;toyota;2018;111747;1364;59900
70071;toyota;2016;161500;1798;74900
70072;toyota;2013;78417;1598;54900
70073;toyota;2018;79250;1598;77900
70074;toyota;2017;133500;1798;64900
70075;toyota;2016;60000;1798;77900
70076;toyota;2016;80517;1598;63900
70077;toyota;2018;123653;1598;59990
70078;toyota;2016;239500;1798;59999
70079;toyota;2017;93560;1329;52500
70080;toyota;2017;120960;1598;62850
70081;toyota;2013;177000;1998;33900
70082;toyota;2015;128715;1798;63900
70083;toyota;2014;176200;1329;44800
70084;toyota;2017;71140;1598;64900
70085;toyota;2015;154200;1600;46500
70086;toyota;2018;54500;1329;52000
70087;toyota;2018;76175;1798;78899
70088;toyota;2017;45690;1798;71000
70089;toyota;2017;52000;1798;62900
70090;toyota;2017;100130;1798;74900
70091;toyota;2016;227700;1798;52500
70092;toyota;2017;27000;1329;56500
70093;toyota;2018;70112;1798;79700
70094;toyota;2014;134000;1998;51888
70095;toyota;2017;182000;1798;59900
70096;toyota;2016;193105;1598;47400
70097;toyota;2018;102000;1598;64894
70098;toyota;2013;177000;1798;43900
70099;toyota;2017;89171;1598;71800
70100;toyota;2014;252000;1798;41900
70101;toyota;2016;91300;1598;59900
70102;toyota;2014;99108;1598;42900
70103;toyota;2018;170000;1598;58900
70104;toyota;2018;78000;1800;76500
70105;toyota;2018;126000;1800;72900
70106;toyota;2017;142890;1798;74900
70107;toyota;2013;103450;1598;42500
70108;toyota;2017;104708;1598;63900
70109;toyota;2016;17314;1798;83899
70110;toyota;2012;102000;1328;36900
70111;toyota;2015;39270;1598;55000
70112;toyota;2018;62590;1197;71900
70113;toyota;2014;189242;1798;58000
70114;toyota;2018;43477;1798;78000
70115;toyota;2017;36651;1598;68900
70116;toyota;2016;102203;1329;54850
70117;toyota;2018;78711;1598;62000
70118;toyota;2014;152520;1329;37900
70119;toyota;2016;147148;1598;56500
70120;toyota;2015;304000;1798;34900
70121;toyota;2013;104000;1598;43500
70122;toyota;2017;38000;1598;55999
70123;toyota;2014;87000;1598;44900
70124;toyota;2018;91917;1598;60000
70125;toyota;2013;129253;1598;44500
70126;toyota;2017;57000;1798;71000
70127;toyota;2018;148207;1364;47200
70128;toyota;2015;165356;1598;44000
70129;toyota;2015;88892;1598;55000
70130;toyota;2018;18347;1598;74800
70131;toyota;2018;76000;1798;89900
70132;toyota;2015;87000;1598;58800
70133;toyota;2017;83865;1798;75400
70134;toyota;2016;177373;1798;65900
70135;toyota;2015;165356;1598;44000
70136;toyota;2016;99900;1598;61900
70137;toyota;2013;139823;1329;36900
70138;toyota;2017;14000;1798;67900
70139;toyota;2016;80000;1600;53500
70140;toyota;2015;130000;1798;60900
70141;toyota;2015;65000;1798;62900
70142;toyota;2013;196000;1300;32900
70143;toyota;2015;139800;1998;36900
70144;toyota;2017;72500;1329;52500
70145;toyota;2013;104000;1329;35000
70146;toyota;2016;27000;1329;56500
70147;toyota;2014;81000;1598;36900
70148;toyota;2016;73840;1329;44899
70149;toyota;2016;52000;1598;62900
70150;toyota;2016;116000;1798;72000
70151;toyota;2016;136000;1598;51900
70152;toyota;2018;32200;1798;69900
70153;toyota;2015;63700;1598;55900
70154;toyota;2013;189000;1364;31900
70155;toyota;2018;67000;1329;56900
70156;toyota;2014;237000;1329;39300
70157;toyota;2013;137000;1329;41900
70158;toyota;2016;72415;1798;73800
70159;toyota;2017;24700;1798;69003
70160;toyota;2018;72000;1598;57850
70161;toyota;2013;161900;1598;39000
70162;toyota;2017;124000;1598;57900
70163;toyota;2018;51000;1598;53300
70164;toyota;2014;199000;1798;45600
70165;toyota;2016;87000;1364;39800
70166;toyota;2015;132000;1329;45000
70167;toyota;2014;137462;1798;49900
70168;toyota;2014;122220;1798;50600
70169;toyota;2015;116000;1798;55900
70170;toyota;2017;78852;1364;59900
70171;toyota;2018;64782;1598;76500
70172;toyota;2016;74399;1598;55600
70173;toyota;2018;123000;1598;68900
70174;toyota;2018;45200;1598;62900
70175;toyota;2018;66085;1598;69500
70176;toyota;2014;198500;1364;32000
70177;toyota;2012;130000;1329;41990
70178;toyota;2012;85174;1598;44200
70179;toyota;2018;45000;1197;55000
70180;toyota;2015;120000;1798;54900
70181;toyota;2013;54000;1598;45900
70182;toyota;2014;136000;1364;39400
70183;toyota;2013;138529;1798;56000
70184;toyota;2018;165000;1598;55900
70185;toyota;2013;141500;1598;43500
70186;toyota;2018;150000;1598;65900
70187;toyota;2015;275000;1798;41000
70188;toyota;2018;47135;1798;69700
70189;toyota;2017;78470;1329;54900
70190;toyota;2015;125000;1364;42900
70191;toyota;2017;59000;1598;61000
70192;toyota;2017;46000;1197;55500
70193;toyota;2017;50000;1329;55000
70194;toyota;2018;28000;1197;59900
70195;toyota;2013;159000;1329;34600
70196;toyota;2013;173000;1798;42500
70197;toyota;2018;87100;1598;49000
70198;toyota;2013;101000;1329;33500
70199;toyota;2015;46500;1197;53900
70200;toyota;2013;205000;1329;35900
70201;toyota;2017;67000;1798;72900
70202;toyota;2014;40613;1598;49500
70203;toyota;2015;42000;1798;50900
70204;toyota;2014;230000;1798;43800
70205;toyota;2016;178700;1598;54900
70206;toyota;2018;135000;1798;70900
70207;toyota;2016;52000;1598;62900
70208;toyota;2017;117684;1598;65900
70209;toyota;2013;125000;1598;45500
70210;toyota;2015;54000;1598;49900
70211;toyota;2014;112989;1798;52600
70212;toyota;2015;224800;1598;36990
70213;toyota;2017;38147;1798;70999
70214;toyota;2018;77986;1598;72800
70215;toyota;2009;138847;1329;22000
70216;toyota;2010;28968;1329;35900
70217;toyota;2007;83891;1364;17000
70218;toyota;2007;167000;1998;20900
70219;toyota;2012;108000;1598;35900
70220;toyota;2012;59776;1798;46900
70221;toyota;2010;65000;1598;33900
70222;toyota;2008;162000;1598;21900
70223;toyota;2011;139726;1329;28900
70224;toyota;2009;230000;1364;22300
70225;toyota;2011;142600;1598;32500
70226;toyota;2008;173230;1598;23900
70227;toyota;2007;192000;1998;17600
70228;toyota;2009;183000;1598;25900
70229;toyota;2012;129691;1329;35400
70230;toyota;2007;132800;1598;18500
70231;toyota;2008;199000;1998;15800
70232;toyota;2007;135500;1598;23700
70233;toyota;2008;115000;1398;23700
70234;toyota;2012;126000;1998;28900
70235;toyota;2008;169000;1598;21900
70236;toyota;2010;157000;1598;28500
70237;toyota;2010;120000;1598;30900
70238;toyota;2007;149000;1398;12000
70239;toyota;2010;234000;1364;17900
70240;toyota;2007;108000;1598;23300
70241;toyota;2010;199820;1598;27999
70242;toyota;2012;124922;1364;28000
70243;toyota;2007;279776;1364;14500
70244;toyota;2012;87747;1329;34000
70245;toyota;2007;144000;1598;21900
70246;toyota;2010;160262;1998;20500
70247;toyota;2008;166500;1364;19000
70248;toyota;2011;58850;1598;35800
70249;toyota;2008;238000;1998;14900
70250;toyota;2010;200798;1598;21900
70251;toyota;2009;215329;1329;19900
70252;toyota;2011;216228;1329;20000
70253;toyota;2014;204571;1998;36900
70254;toyota;2007;178000;1998;19500
70255;toyota;2008;186000;1398;18700
70256;toyota;2007;170477;1398;22700
70257;toyota;2007;165000;1364;19300
70258;toyota;2011;182000;1329;25900
70259;toyota;2007;151000;1598;21900
70260;toyota;2007;175000;1598;19900
70261;toyota;2008;235464;1998;16700
70262;toyota;2011;181741;1329;23700
70263;toyota;2007;215300;1998;12800
70264;toyota;2009;175000;1364;19000
70265;toyota;2007;293000;1998;13700
70266;toyota;2009;228300;1329;20900
70267;toyota;2011;75000;1598;29999
70268;toyota;2008;266215;1598;18500
70269;toyota;2008;240000;1598;18999
70270;toyota;2007;170000;1329;18900
70271;toyota;2009;191250;1598;21900
70272;toyota;2007;263000;1598;14000
70273;toyota;2010;100000;1329;25777
70274;toyota;2011;249000;1598;22900
70275;toyota;2007;190000;1598;21900
70276;toyota;2009;126424;1598;25400
70277;toyota;2008;160000;1398;22600
70278;toyota;2010;172000;1598;26990
70279;toyota;2006;211000;1998;14990
70280;toyota;2007;189000;1364;18900
70281;toyota;2008;179000;1398;21999
70282;toyota;2007;122000;1598;26900
70283;toyota;2009;219299;1998;18490
70284;toyota;2012;122721;1329;34800
70285;toyota;2007;170000;1398;18900
70286;toyota;2007;298802;1598;14900
70287;toyota;2009;250000;1329;20900
70288;toyota;2007;158000;1398;14300
70289;toyota;2007;121500;1598;19900
70290;toyota;2008;192000;1598;23900
70291;toyota;2008;120000;1598;17500
70292;toyota;2008;99800;1398;19500
70293;toyota;2012;154571;1598;33900
70294;toyota;2009;215000;1329;19500
70295;toyota;2010;201014;1364;23600
70296;toyota;2012;99752;1598;39999
70297;toyota;2008;228700;1998;15900
70298;toyota;2008;194300;1364;19500
70299;toyota;2007;246663;1598;19900
70300;toyota;2011;154144;1598;34500
70301;toyota;2009;128000;1998;18800
70302;toyota;2008;187300;1398;17700
70303;toyota;2007;156000;1398;16400
70304;toyota;2011;65000;1598;37900
70305;toyota;2008;243766;1364;20900
70306;toyota;2008;212645;1598;23500
70307;toyota;2007;249776;1998;11999
70308;toyota;2007;290000;1998;12500
70309;toyota;2012;93635;1329;26900
70310;toyota;2010;217830;1364;25500
70311;toyota;2011;89000;1598;36900
70312;toyota;2010;135000;1598;31900
70313;toyota;2008;183000;1998;15500
70314;toyota;2008;228000;1998;14900
70315;toyota;2008;133000;1598;22300
70316;toyota;2011;217000;1998;24900
70317;toyota;2011;28818;1364;49938
70318;toyota;2010;72000;1329;28500
70319;toyota;2007;258000;1998;13700
70320;toyota;2007;124000;1398;16900
70321;toyota;2007;251000;1598;14900
70322;toyota;2011;161000;1598;31900
70323;toyota;2010;178982;1598;27999
70324;toyota;2011;220000;1798;30900
70325;toyota;2009;125730;1598;26000
70326;toyota;2012;212000;1998;29999
70327;toyota;2009;164000;1598;29900
70328;toyota;2010;182000;1329;24900
70329;toyota;2011;179940;1998;23900
70330;toyota;2011;152000;1598;33900
70331;toyota;2007;110400;1598;22200
70332;toyota;2008;190000;1598;18999
70333;toyota;2008;117600;1598;28900
70334;toyota;2010;143000;1598;29800
70335;toyota;2011;124565;1364;29900
70336;toyota;2011;224000;1998;25300
70337;toyota;2008;158900;1598;21500
70338;toyota;2013;193600;1329;29800
70339;toyota;2007;160000;1598;19900
70340;toyota;2011;137000;1598;32900
70341;toyota;2008;173000;1598;21900
70342;toyota;2009;163890;1598;23900
70343;toyota;2007;179880;1998;11300
70344;toyota;2011;198000;1998;22800
70345;toyota;2011;173400;1598;29900
70346;toyota;2009;299000;1998;12990
70347;toyota;2011;98000;1598;28400
70348;toyota;2009;190000;1364;22900
70349;toyota;2007;278571;1998;13000
70350;toyota;2012;85500;1598;36900
70351;toyota;2009;186000;1364;18500
70352;toyota;2011;87316;1598;34500
70353;toyota;2011;131000;1329;26700
70354;toyota;2008;202000;1598;24900
70355;toyota;2012;189000;1598;34900
70356;toyota;2011;124500;1797;39800
70357;toyota;2012;145700;1598;34900
70358;toyota;2007;255000;1600;16900
70359;toyota;2011;215300;1329;22500
70360;toyota;2011;100243;1329;29000
70361;toyota;2011;135321;1329;28000
70362;toyota;2007;182833;1598;20900
70363;toyota;2010;124000;1598;27900
70364;toyota;2009;185000;1364;18600
70365;toyota;2009;197580;1364;19500
70366;toyota;2007;256000;1364;14500
70367;toyota;2008;224800;1598;20500
70368;toyota;2011;193000;1329;29500
70369;toyota;2010;193500;1598;24500
70370;toyota;2007;217000;1364;16900
70371;toyota;2010;182007;1598;21000
70372;toyota;2011;49000;1598;42900
70373;toyota;2010;199785;1329;19999
