N;mark;year;mileage;vol_engine;price
83105;citroen;2011;128200;1560;20900
83106;citroen;2007;258000;1560;11900
83107;citroen;2009;215493;1997;16900
83108;citroen;2009;283000;1997;13900
83109;citroen;2010;125300;1598;24900
83110;citroen;2013;90000;1598;23800
83111;citroen;2010;224000;1560;19900
83112;citroen;2010;238610;1598;21000
83113;citroen;2008;182000;1749;19900
83114;citroen;2007;200000;1749;14900
83115;citroen;2008;250690;1997;15000
83116;citroen;2007;239321;1749;13900
83117;citroen;2007;255000;1560;9900
83118;citroen;2013;158848;1560;23800
83119;citroen;2012;141000;1598;14900
83120;citroen;2011;136000;1598;21400
83121;citroen;2008;169000;1997;19999
83122;citroen;2007;216000;1560;12500
83123;citroen;2007;224000;1997;11800
83124;citroen;2007;91000;1997;21990
83125;citroen;2008;100995;1560;19900
83126;citroen;2010;162000;1598;21900
83127;citroen;2009;240115;1560;12900
83128;citroen;2007;193400;1997;16900
83129;citroen;2008;165000;1598;18900
83130;citroen;2010;185382;1997;19900
83131;citroen;2008;200000;1560;8800
83132;citroen;2011;301000;1560;16900
83133;citroen;2010;157252;1598;22500
83134;citroen;2009;161000;1560;14800
83135;citroen;2013;119995;1560;23900
83136;citroen;2007;267500;1997;13300
83137;citroen;2009;214790;1598;14990
83138;citroen;2007;215000;1560;11900
83139;citroen;2007;132685;1997;24900
83140;citroen;2007;228000;1560;9900
83141;citroen;2012;287000;1600;21700
83142;citroen;2010;298000;1560;13500
83143;citroen;2010;280000;1997;17500
83144;citroen;2011;155000;1560;19900
83145;citroen;2008;210762;1997;18000
83146;citroen;2007;311300;1997;11500
83147;citroen;2007;192000;1600;13900
83148;citroen;2012;207000;1598;19900
83149;citroen;2008;192221;1598;19200
83150;citroen;2011;217000;1560;20600
83151;citroen;2011;259000;1560;18999
83152;citroen;2009;292000;1598;12900
83153;citroen;2006;235000;1560;12000
83154;citroen;2009;162000;1560;17500
83155;citroen;2008;198000;1600;15800
83156;citroen;2008;238575;1997;17900
83157;citroen;2009;154750;1598;13500
83158;citroen;2008;260086;1560;19999
83159;citroen;2010;141000;1997;20500
83160;citroen;2009;164677;1560;17900
83161;citroen;2007;172000;1749;18900
83162;citroen;2006;232680;1749;17900
83163;citroen;2008;178120;1749;15900
83164;citroen;2007;156814;1749;15900
83165;citroen;2010;251300;1560;15000
83166;citroen;2010;185190;1560;16100
83167;citroen;2007;193852;1997;18900
83168;citroen;2007;209333;1749;15900
83169;citroen;2011;175000;1560;20900
83170;citroen;2017;77000;1560;59900
83171;citroen;2011;153000;1560;20900
83172;citroen;2008;188484;1997;13900
83173;citroen;2008;279000;1997;14900
83174;citroen;2008;179000;1598;15500
83175;citroen;2011;168000;1560;16500
83176;citroen;2007;175000;1997;9900
83177;citroen;2008;161000;1997;18900
83178;citroen;2010;340000;1600;18900
83179;citroen;2009;146386;1598;17800
83180;citroen;2009;120000;1598;17200
83181;citroen;2008;155000;1560;14300
83182;citroen;2011;156350;1560;25555
83183;citroen;2007;165000;1749;13900
83184;citroen;2010;206000;1598;20600
83185;citroen;2013;121000;1598;29900
83186;citroen;2008;223000;1997;15900
83187;citroen;2012;134000;1560;22000
83188;citroen;2007;257500;1560;11990
83189;citroen;2012;93076;1598;24500
83190;citroen;2008;218000;1749;15500
83191;citroen;2007;199211;1749;15900
83192;citroen;2009;255511;1598;16500
83193;citroen;2011;164000;1560;19800
83194;citroen;2008;259000;1997;14500
83195;citroen;2009;228286;1598;19900
83196;citroen;2011;179250;1598;18900
83197;citroen;2010;118000;1560;19900
83198;citroen;2006;243301;1749;13000
83199;citroen;2008;224000;1560;15900
83200;citroen;2012;209781;1997;26800
83201;citroen;2008;132000;1560;14300
83202;citroen;2007;180000;1997;19999
83203;citroen;2012;220000;1560;21999
83204;citroen;2011;199000;1560;16900
83205;citroen;2010;200000;1560;21999
83206;citroen;2011;141000;1560;23900
83207;citroen;2012;101000;1560;25900
83208;citroen;2007;142993;1749;16900
83209;citroen;2008;239000;1749;14900
83210;citroen;2007;98000;1560;6900
83211;citroen;2013;194000;1560;23900
83212;citroen;2007;247021;1749;16900
83213;citroen;2010;205000;1997;19990
83214;citroen;2009;140000;1560;17800
83215;citroen;2009;203135;1560;14900
83216;citroen;2009;179800;1598;19500
83217;citroen;2009;251000;1997;13900
83218;citroen;2010;279000;1560;17900
83219;citroen;2009;245000;1560;12500
83220;citroen;2009;250000;1598;14500
83221;citroen;2009;243000;1560;12490
83222;citroen;2008;192000;1560;14500
83223;citroen;2009;298000;1997;13500
83224;citroen;2007;167816;1560;14900
83225;citroen;2013;199764;1560;24477
83226;citroen;2011;241000;1598;22500
83227;citroen;2007;209427;1997;14900
83228;citroen;2007;269000;1749;16800
83229;citroen;2012;193704;1598;28900
83230;citroen;2008;367800;1997;13800
83231;citroen;2007;248137;1997;14500
83232;citroen;2007;236000;2000;18900
83233;citroen;2011;293000;1598;15900
83234;citroen;2012;208000;1598;13999
83235;citroen;2009;200000;1560;15900
83236;citroen;2008;176500;1749;16500
83237;citroen;2009;238000;1598;18700
83238;citroen;2011;199123;1560;19899
83239;citroen;2014;172000;1997;44900
83240;citroen;2010;202295;1560;18200
83241;citroen;2012;193969;1560;18900
83242;citroen;2010;339100;1997;16900
83243;citroen;2010;99000;1997;25000
83244;citroen;2008;247000;1997;17600
83245;citroen;2008;290000;1997;13500
83246;citroen;2009;269000;1560;15900
83247;citroen;2009;204000;1598;18900
83248;citroen;2008;216000;1600;15900
83249;citroen;2007;255000;1997;14900
83250;citroen;2011;198200;1560;20900
83251;citroen;2007;350000;1560;11900
83252;citroen;2007;188000;1560;14900
83253;citroen;2009;215000;1598;9900
83254;citroen;2007;198000;1997;17500
83255;citroen;2010;190000;1560;15890
83256;citroen;2007;222328;1749;16900
83257;citroen;2008;268812;1749;15000
83258;citroen;2011;235000;1560;19900
83259;citroen;2008;177358;1749;19999
83260;citroen;2008;220000;1997;13800
83261;citroen;2008;200000;1560;14900
83262;citroen;2009;219827;1598;16900
83263;citroen;2011;200000;1598;25999
83264;citroen;2009;220000;1997;16900
83265;citroen;2008;292673;1560;13000
83266;citroen;2007;128000;1749;17900
83267;citroen;2010;274343;1560;15900
83268;citroen;2007;181000;1997;14950
83269;citroen;2007;391000;1560;9900
83270;citroen;2013;134000;1560;21400
83271;citroen;2007;225000;1997;16900
83272;citroen;2008;174000;1997;13900
83273;citroen;2010;197000;1560;18800
83274;citroen;2007;246000;1749;14900
83275;citroen;2007;280000;1560;9300
83276;citroen;2009;180580;1598;19000
83277;citroen;2009;212000;1598;18900
83278;citroen;2007;127000;1560;16900
83279;citroen;2008;140000;1598;16800
83280;citroen;2007;248000;1997;13499
83281;citroen;2008;213400;1997;13000
83282;citroen;2012;141120;1560;34900
83283;citroen;2008;219000;1997;15900
83284;citroen;2008;172000;1598;18700
83285;citroen;2008;159600;1560;16800
83286;citroen;2007;345000;1997;13200
83287;citroen;2008;209412;1997;18900
83288;citroen;2008;176500;1749;17400
83289;citroen;2007;240000;1997;17900
83290;citroen;2011;200695;1598;15900
83291;citroen;2013;196360;1560;23500
83292;citroen;2011;111000;1598;23999
83293;citroen;2008;185000;1560;13900
83294;citroen;2008;250690;1997;15000
83295;citroen;2006;219000;1798;17900
83296;citroen;2011;249744;1598;19000
83297;citroen;2012;207997;1560;20000
83298;citroen;2007;265000;1749;17600
83299;citroen;2010;127881;1560;24000
83300;citroen;2008;195000;1560;13700
83301;citroen;2009;111000;1598;20990
83302;citroen;2011;200000;1598;17900
83303;citroen;2008;221000;1749;12900
83304;citroen;2008;155000;1600;15900
83305;citroen;2011;157000;1598;23000
83306;citroen;2008;267763;1560;15900
83307;citroen;2008;230000;1749;16900
83308;citroen;2009;197609;1600;16900
83309;citroen;2009;179000;1598;18999
83310;citroen;2010;207500;1598;16900
83311;citroen;2007;184000;1997;14500
83312;citroen;2009;264000;1598;16500
83313;citroen;2008;250000;1560;12900
83314;citroen;2010;116000;1560;18900
83315;citroen;2008;157000;1749;19900
83316;citroen;2011;170000;1997;25990
83317;citroen;2010;186600;1598;24900
83318;citroen;2011;201000;1560;21900
83319;citroen;2008;220000;1749;17500
83320;citroen;2013;131000;1560;24900
83321;citroen;2012;207294;1560;23900
83322;citroen;2011;153691;1560;22500
83323;citroen;2010;188000;1560;15999
83324;citroen;2010;220000;1598;15900
83325;citroen;2010;150000;1997;21500
83326;citroen;2016;194000;1560;41000
83327;citroen;2008;184015;1997;16700
